Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
mma cms,Chrome 120.0.0.0,,,19-01-2024 11:21:57,19-01-2024 11:23:10,1m - 13.139s,PASSED
,,,,,,,
Test Cases/login mma cms,Chrome 120.0.0.0,,,19-01-2024 11:21:57,19-01-2024 11:22:05,8.057s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,19-01-2024 11:21:58,19-01-2024 11:22:01,3.477s,PASSED
"navigateToUrl(""http://34.128.87.8:8082/login"")",Chrome 120.0.0.0,,,19-01-2024 11:22:01,19-01-2024 11:22:03,1.994s,PASSED
"setText(findTestObject(""Object Repository/Page_Login  MMA CMS/input_email""), ""admin@indocyber.com"")",Chrome 120.0.0.0,,,19-01-2024 11:22:03,19-01-2024 11:22:04,0.932s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login  MMA CMS/input_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 120.0.0.0,,,19-01-2024 11:22:04,19-01-2024 11:22:05,0.509s,PASSED
"click(findTestObject(""Page_Login  MMA CMS/button_Login""))",Chrome 120.0.0.0,,,19-01-2024 11:22:05,19-01-2024 11:22:05,0.464s,PASSED
,,,,,,,
Test Cases/role list mma cms,Chrome 120.0.0.0,,,19-01-2024 11:22:05,19-01-2024 11:22:34,29.391s,PASSED
delay(10),Chrome 120.0.0.0,,,19-01-2024 11:22:05,19-01-2024 11:22:15,10.073s,PASSED
"click(findTestObject(""Object Repository/Page_Role List  MMA CMS/Page_Master News  MMA CMS/span_Role List""))",Chrome 120.0.0.0,,,19-01-2024 11:22:15,19-01-2024 11:22:17,1.529s,PASSED
"click(findTestObject(""Object Repository/Page_Role List  MMA CMS/Page_Role List  MMA CMS/button_Tambah                              _2f1eed""))",Chrome 120.0.0.0,,,19-01-2024 11:22:17,19-01-2024 11:22:20,2.792s,PASSED
"setText(findTestObject(""Object Repository/Page_Role List  MMA CMS/Page_Role List  MMA CMS/input_name""), ""test katalon"")",Chrome 120.0.0.0,,,19-01-2024 11:22:20,19-01-2024 11:22:21,1.046s,PASSED
"click(findTestObject(""Object Repository/Page_Role List  MMA CMS/Page_Role List  MMA CMS/button_Save""))",Chrome 120.0.0.0,,,19-01-2024 11:22:21,19-01-2024 11:22:21,0.388s,PASSED
delay(5),Chrome 120.0.0.0,,,19-01-2024 11:22:21,19-01-2024 11:22:26,5.039s,PASSED
"click(findTestObject(""Page_Privilege List  tes katalon  MMA CMS/Page_Role List  MMA CMS/a_Name_btnPrivileges""))",Chrome 120.0.0.0,,,19-01-2024 11:22:26,19-01-2024 11:22:28,1.990s,PASSED
"click(findTestObject(""Object Repository/Page_Role List  MMA CMS/Page_Privilege List  test katalon  MMA CMS/input_actions""))",Chrome 120.0.0.0,,,19-01-2024 11:22:28,19-01-2024 11:22:31,2.640s,PASSED
"click(findTestObject(""Object Repository/Page_Role List  MMA CMS/Page_Privilege List  test katalon  MMA CMS/input_actions""))",Chrome 120.0.0.0,,,19-01-2024 11:22:31,19-01-2024 11:22:31,0.380s,PASSED
"click(findTestObject(""Object Repository/Page_Role List  MMA CMS/Page_Privilege List  test katalon  MMA CMS/input_actions""))",Chrome 120.0.0.0,,,19-01-2024 11:22:31,19-01-2024 11:22:32,0.377s,PASSED
"click(findTestObject(""Object Repository/Page_Role List  MMA CMS/Page_Privilege List  test katalon  MMA CMS/input_actions""))",Chrome 120.0.0.0,,,19-01-2024 11:22:32,19-01-2024 11:22:32,0.371s,PASSED
"click(findTestObject(""Object Repository/Page_Role List  MMA CMS/Page_Privilege List  test katalon  MMA CMS/button_Save""))",Chrome 120.0.0.0,,,19-01-2024 11:22:32,19-01-2024 11:22:34,2.444s,PASSED
,,,,,,,
Test Cases/user list mma cms,Chrome 120.0.0.0,,,19-01-2024 11:22:34,19-01-2024 11:23:10,35.283s,PASSED
delay(10),Chrome 120.0.0.0,,,19-01-2024 11:22:35,19-01-2024 11:22:45,10.016s,PASSED
"click(findTestObject(""Object Repository/Page_Master News  MMA CMS/a_User List""))",Chrome 120.0.0.0,,,19-01-2024 11:22:45,19-01-2024 11:22:46,0.832s,PASSED
