Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
kaf mma,,,,27-01-2024 14:12:32,27-01-2024 14:13:41,1m - 8.936s,PASSED
,,,,,,,
Test Cases/MMA/login mma,,,,27-01-2024 14:12:33,27-01-2024 14:13:30,56.831s,PASSED
"startApplication(""C:\Users\0517\Downloads\KAF MMA UAT v10.apk"", true)",,,,27-01-2024 14:12:34,27-01-2024 14:13:09,34.857s,PASSED
"tap(findTestObject(""Object Repository/mma mobile/android.widget.EditText (2)""), 0)",,,,27-01-2024 14:13:09,27-01-2024 14:13:11,1.510s,PASSED
"setText(findTestObject(""Object Repository/mma mobile/android.widget.EditText (2)""), ""receptionist@kaf.co.id"", 0)",,,,27-01-2024 14:13:11,27-01-2024 14:13:11,0.864s,PASSED
hideKeyboard(),,,,27-01-2024 14:13:11,27-01-2024 14:13:14,2.475s,PASSED
"tap(findTestObject(""Object Repository/mma mobile/android.widget.EditText""), 0)",,,,27-01-2024 14:13:14,27-01-2024 14:13:15,1.329s,PASSED
"setText(findTestObject(""Object Repository/mma mobile/android.widget.EditText""), ""R3cept!#888"", 0)",,,,27-01-2024 14:13:15,27-01-2024 14:13:17,1.429s,PASSED
hideKeyboard(),,,,27-01-2024 14:13:17,27-01-2024 14:13:18,1.658s,PASSED
"tap(findTestObject(""Object Repository/mma mobile/android.widget.Button""), 0)",,,,27-01-2024 14:13:18,27-01-2024 14:13:20,1.795s,PASSED
delay(10),,,,27-01-2024 14:13:20,27-01-2024 14:13:30,10.109s,PASSED
,,,,,,,
Test Cases/MMA/add prospect customer,,,,27-01-2024 14:13:30,27-01-2024 14:13:41,11.131s,PASSED
"tap(findTestObject(""Object Repository/mma mobile/android.widget.ImageView (1)""), 0)",,,,27-01-2024 14:13:31,27-01-2024 14:13:32,1.147s,PASSED
"tap(findTestObject(""Object Repository/mma mobile/android.widget.ImageView (2)""), 0)",,,,27-01-2024 14:13:32,27-01-2024 14:13:33,1.045s,PASSED
"tap(findTestObject(""Object Repository/mma mobile/android.view.View""), 0)",,,,27-01-2024 14:13:33,27-01-2024 14:13:34,0.955s,PASSED
"tap(findTestObject(""Object Repository/mma mobile/android.widget.EditText (3)""), 0)",,,,27-01-2024 14:13:34,27-01-2024 14:13:34,0.294s,PASSED
"setText(findTestObject(""Object Repository/mma mobile/android.widget.EditText (3)""), ""PT MENCARI"", 0)",,,,27-01-2024 14:13:34,27-01-2024 14:13:36,1.548s,PASSED
"tap(findTestObject(""Object Repository/mma mobile/android.widget.EditText (4)""), 0)",,,,27-01-2024 14:13:36,27-01-2024 14:13:36,0.904s,PASSED
"setText(findTestObject(""Object Repository/mma mobile/android.widget.EditText (4)""), ""MCRI"", 0)",,,,27-01-2024 14:13:36,27-01-2024 14:13:37,1.043s,PASSED
hideKeyboard(),,,,27-01-2024 14:13:37,27-01-2024 14:13:39,1.618s,PASSED
"tap(findTestObject(""Object Repository/mma mobile/android.widget.ImageView (3)""), 0)",,,,27-01-2024 14:13:39,27-01-2024 14:13:40,0.951s,PASSED
closeApplication(),,,,27-01-2024 14:13:40,27-01-2024 14:13:41,1.314s,PASSED
